Date,Open,High,Low,Close,Adj Close,Volume
1997-05-15,2.4375,2.5,1.9270833730697600,1.9583333730697600,1.9583333730697600,72156000
1997-05-16,1.96875,1.9791666269302400,1.7083333730697600,1.7291666269302400,1.7291666269302400,14700000
1997-05-19,1.7604166269302400,1.7708333730697600,1.625,1.7083333730697600,1.7083333730697600,6106800
1997-05-20,1.7291666269302400,1.75,1.6354166269302400,1.6354166269302400,1.6354166269302400,5467200
1997-05-21,1.6354166269302400,1.6458333730697600,1.375,1.4270833730697600,1.4270833730697600,18853200
1997-05-22,1.4375,1.4479166269302400,1.3125,1.3958333730697600,1.3958333730697600,11776800
1997-05-23,1.40625,1.5208333730697600,1.3333333730697600,1.5,1.5,15937200
1997-05-27,1.5104166269302400,1.6458333730697600,1.4583333730697600,1.5833333730697600,1.5833333730697600,8697600
1997-05-28,1.625,1.6354166269302400,1.53125,1.53125,1.53125,4574400
1997-05-29,1.5416666269302400,1.5416666269302400,1.4791666269302400,1.5052083730697600,1.5052083730697600,3472800
1997-05-30,1.5,1.5104166269302400,1.4791666269302400,1.5,1.5,2594400
1997-06-02,1.5104166269302400,1.53125,1.5,1.5104166269302400,1.5104166269302400,591600
1997-06-03,1.53125,1.53125,1.4791666269302400,1.4791666269302400,1.4791666269302400,1183200
1997-06-04,1.4791666269302400,1.4895833730697600,1.3958333730697600,1.4166666269302400,1.4166666269302400,3080400
1997-06-05,1.4166666269302400,1.5416666269302400,1.375,1.5416666269302400,1.5416666269302400,5672400
1997-06-06,1.515625,1.7083333730697600,1.5104166269302400,1.65625,1.65625,7807200
1997-06-09,1.65625,1.7083333730697600,1.65625,1.6875,1.6875,2352000
1997-06-10,1.7083333730697600,1.7083333730697600,1.53125,1.5833333730697600,1.5833333730697600,5458800
1997-06-11,1.59375,1.6041666269302400,1.53125,1.5416666269302400,1.5416666269302400,1188000
1997-06-12,1.5833333730697600,1.6458333730697600,1.5520833730697600,1.6041666269302400,1.6041666269302400,1632000
1997-06-13,1.625,1.625,1.5833333730697600,1.5833333730697600,1.5833333730697600,693600
1997-06-16,1.6041666269302400,1.6041666269302400,1.5625,1.5729166269302400,1.5729166269302400,913200
1997-06-17,1.5989583730697600,1.5989583730697600,1.4947916269302400,1.5052083730697600,1.5052083730697600,4706400
1997-06-18,1.5208333730697600,1.5364583730697600,1.5,1.5104166269302400,1.5104166269302400,2464800
1997-06-19,1.5104166269302400,1.53125,1.5,1.5104166269302400,1.5104166269302400,1003200
1997-06-20,1.53125,1.5520833730697600,1.5,1.5260416269302400,1.5260416269302400,3387600
1997-06-23,1.5416666269302400,1.5416666269302400,1.4791666269302400,1.5,1.5,1047600
1997-06-24,1.5052083730697600,1.5260416269302400,1.4791666269302400,1.5104166269302400,1.5104166269302400,751200
1997-06-25,1.5260416269302400,1.5260416269302400,1.4895833730697600,1.5104166269302400,1.5104166269302400,2106000
1997-06-26,1.5208333730697600,1.5208333730697600,1.5052083730697600,1.5104166269302400,1.5104166269302400,3189600
1997-06-27,1.515625,1.515625,1.4791666269302400,1.4895833730697600,1.4895833730697600,1188000
1997-06-30,1.5104166269302400,1.5989583730697600,1.4791666269302400,1.5416666269302400,1.5416666269302400,2746800
1997-07-01,1.5416666269302400,1.5416666269302400,1.5104166269302400,1.515625,1.515625,1292400
1997-07-02,1.515625,1.59375,1.5104166269302400,1.5885416269302400,1.5885416269302400,3882000
1997-07-03,1.5989583730697600,1.9166666269302400,1.59375,1.9114583730697600,1.9114583730697600,12577200
1997-07-07,1.8333333730697600,2.0208332538604700,1.8333333730697600,2.0,2.0,8053200
1997-07-08,2.0416667461395300,2.3333332538604700,2.0416667461395300,2.3020832538604700,2.3020832538604700,15517200
1997-07-09,2.3020832538604700,2.3854167461395300,2.2708332538604700,2.3229167461395300,2.3229167461395300,8262000
